"AA";"No";"0";;"2007-10-29 14:05:29";"Arnold Arboretum";"http://www.arboretum.harvard.edu/";"42.317";"-71.083";"15";"79";"47";"10.8";"110";;"TEMPFOR";"MA";"US";
"ABCRC";"No";"0";;;"Anheuser Busch Coastal Research Center";"http://www.abcrc.virginia.edu";"37.3";"-75.933";NULL;NULL;NULL;NULL;NULL;NULL;"ESTU";"VA";"US";
"ABS";"No";"0";;"2008-06-10 15:18:53";"Archbold Biological Station";"http://www.archbold-station.org/";"27.1085";"-81.35";"30";"65";"47.5";"22.3";"136.53";;"WETLAND";"FL";"US";"Archbold_Biological_Station.pdf"
"AC";"No";"0";;"2008-06-03 18:53:22";"Alum Creek Experimental Forest";"http://www.srs.fs.usda.gov/4106/experimentalforests/AlumCreekEF/AlumCreekEF.htm";"34.798333";"-93.054722";NULL;NULL;NULL;"15";"132.1";;"TEMPFOR";"AR";"US";
"ACEBR";"No";"0";;"2008-06-10 16:39:32";"ACE Basin Reserve";"http://www.nerrs.noaa.gov/ACEBasin/welcome.html";"32.5365";"-80.4764";"0";"0";"0";"0";"0";;"ESTU";"SC";"US";
"ACP";"No";"0";;"2008-06-03 15:55:06";"Anderson County Prairies";"http://www.nature.org/wherewework/northamerica/states/kansas/preserves/art2425.html";"38.18";"-95.26";"317";"357";"337";"13.6";"102";;"PRAIRIE";"KS";"US";
"ACRR";"No";"0";;"2008-06-03 15:57:58";"Angelo Coast Range Reserve";"http://angelo.berkeley.edu/";"39.701063";"-123.654501";"378";"1290";"834";NULL;"215.6";;"TEMPFOR";"CA";"US";
"ADHLL";"No";"0";;"2008-06-03 18:50:32";"Arthur D. Hasler Laboratory for Limnology";"http://limnology.wisc.edu/index.php?pr=Hasler_Lab_for_Limn.";"43.1";"-89.4";"0";"0";"0";"4.4";"79";;"AQUATIC";"WI";"US";
"AECHWF";"No";"0";;"2008-06-13 14:04:21";"Adirondack Ecological Center Huntington Wildlife Forest";"http://www.esf.edu/aec";"43.985";"-74.235";"457";"823";"640";"4.4";"101";"http://www.esf.edu/aec/facilities/hwf.htm";"TEMPFOR";"NY";"US";"sample2.pdf"
"AES";"No";"0";;"2008-04-04 17:10:04";"Adjuntas Agricultural Experimental Station";"http://estacion.cca.uprm.edu/adjuntas/infgen.aspx";"18.17464";"-66.7987";"550";"750";"650";"21.6";"189.3";;"TROPFOR";"PR";"US";"Adjuntas_Agricultural_Experimental_Station.pdf"
"ALT-BASIN";"No";"0";;"2008-06-03 15:51:17";"Altamaha River Basin";"http://gce-lter.marsci.uga.edu/lter/asp/db/sitedetails.asp?units=deg";"31.857179";"-82.26018";NULL;NULL;NULL;NULL;NULL;;"AQUATIC";"GA";"US";
"ANIR";"No";"0";;"2008-06-03 16:03:32";"Ano Nuevo Island Reserve";"http://ucreserve.ucsc.edu/ano_nuevo/anonuevo.html";"36.954764";"-122.06246";"0";"13";"6.5";"13";"50";;"OCEAN";"CA";"US";
"APRF";"No";"0";;"2008-06-03 18:56:44";"Au Sable Institute of Environmental Studies, Pacific Rim Campus";"http://www.ausable.org/au.pacificrim.cfm";"48.2";"-122";NULL;NULL;NULL;NULL;"43.2";;"PRAIRIE";"WA";"US";
"AR";"No";"0";;"2008-06-03 18:23:50";"Argonne Experimental Forest";"http://nrs.fs.fed.us/ef/locations/wi/argonne/";"45.75";"-89";"0";"0";"513";"5";"81.3";;"TEMPFOR";"WI";"US";
"ARF";"No";"0";;"2008-06-03 16:15:39";"Apalachicola Reserve";"http://www.nerrs.noaa.gov/Apalachicola/welcome.html";"29.8702";"-85.0266";"0";"0";"0";NULL;NULL;"Apalachicola Bay is one of the most productive estuarine systems in the Northern Hemisphere. The reserve protects the regionâ€™s biological diversity, as well as the economic value of the natural resources and pristine conditions.";"ESTU";"FL";"US";
"ARL";"No";"0";;"2008-04-09 11:33:06";"Airlie Center";"http://www.airlie.com/environment/index.htm";"38.75969";"-77.7937";"145";"320";"232.5";"13";"105";;"PASTURE";"VA";"US";"Airlie_Site.pdf"
"ARN";"No";"0";;;"Armendaris Ranch";"http://tesf.org/turner/tesf/";"33.313474";"-107.001329";"1341";"2042";"1691.5";"14";"17.8";NULL;"RANGE";"NM";"US";
"ASIES";"No";"0";;"2008-06-03 18:54:35";"Au Sable Institute of Environmental Studies, Great Lakes Campus";"http://www.ausable.org/au.greatlakes.overview.cfm";"44.77";"-84.9";NULL;NULL;NULL;NULL;NULL;;"AQUATIC";"MI";"US";
"ATQ";"No";"0";;"2008-04-14 12:12:58";"Atqasuk Facility";"http://www.arm.gov/sites/nsa/atqasuk.stm";"70.472";"-157.407";"20";"30";"25";NULL;NULL;;"ARCTIC";"AK";"US";"Atqasuk.pdf"
"ATRF";"No";"0";;"2008-06-03 18:28:02";"Arnot Teaching and Research Forest";"http://www.dnr.cornell.edu/arnot";"42.285";"-76.636";"350.5";"620.3";"485.4";NULL;NULL;;"TEMPFOR";"NY";"US";
"AWRR";"No";"0";;"2008-06-03 16:17:21";"Appleton-Whittell Research Ranch";"http://www.audubon.org/local/sanctuary/appleton/";"31.591";"-110.506";NULL;NULL;NULL;NULL;NULL;;"GRASS-SHRUB";"AZ";"US";
"BA";"No";"0";;;"Bartlett Experimental Forest";"http://nrs.fs.fed.us/ef/locations/nh/bartlett/";"44.044167";"-71.1655";"207";"915";"561";"4.5";"140";NULL;"TEMPFOR";"NH";"US";
"BAKF";"No";"0";;"2008-06-03 19:00:31";"Baker Forest, University of California, Berkeley";"http://ecology.cnr.berkeley.edu/properties/baker.html";"39.90809";"-121.07237";NULL;NULL;NULL;NULL;"104.1";;"TEMPFOR";"CA";"US";
"BALL";"No";"0";;"2008-06-03 19:05:20";"Ball State University Field Station and Environmental Education Center";"http://publish.bsu.edu/fseec/environment/Default.htm";"40.316";"-85.683";NULL;NULL;NULL;NULL;NULL;;"TEMPFOR";"IN";"US";
"BAR";"No";"0";;;"Barataria Bay";"http://www.gulfbase.org/bay/view.php?bid=barataria";"29.2167";"-90.00117";"0";"0";"0";"21";"150";NULL;"ESTU";"LA";"US";
"BBEF";"No";"0";;;"Boise Basin Experimental Forest";"http://forest.moscowfsl.wsu.edu/ef/bbef.html";"43.8166666666667";"-115.8333";NULL;NULL;NULL;NULL;NULL;NULL;"TEMPFOR";"ID";"US";
"BBFS";"No";"0";;;"Robert J. Bernard Biological Field Station";"http://bfs.claremont.edu/";"34.11";"-117.709";NULL;NULL;NULL;NULL;"45.5";NULL;"GRASS-SHRUB";"CA";"US";
"BBP";"No";"0";;"2007-10-27 12:09:34";"Big Bend National Park";"http://www.nps.gov/bibe";"29.25";"-103.25";"550";"2400";"1475";NULL;NULL;;"GRASS-SHRUB";"TX";"US";
"BBS";"No";"0";;;"Bermuda Institute of Ocean Sciences";"http://www.bios.edu/";"32.367";"-64.7";"0";"0";"0";"22";"141.2";NULL;"OCEAN";NULL;"BM";
"BCEF";"No";"0";;"2007-11-25 17:30:22";"Bonanza Creek Experimental Forest";"http://www.lter.uaf.edu/bcef/default.cfm";"64.8";"-148";"400";"700";"550";"-0.9";"22.5";NULL;"TEMPFOR";"AK";"US";
"BCFS";"No";"0";;;"Bard College Field Station";"http://www.bard.edu/scienceinitiative/facilities/";"42.03";"-73.9";NULL;NULL;NULL;NULL;NULL;NULL;"WETLAND";"NY";"US";
"BCNWR";"No";"0";;"2008-06-03 19:02:04";"Balcones Canyonlands National Wildlife Refuge";"http://www.fws.gov/southwest/refuges/texas/balcones/index.htm";"30.6101";"-98.147";NULL;NULL;"328";"18.4";"76.2";;"GRASS-SHRUB";"TX";"US";
"BCW";"No";"0";;"2008-04-14 11:22:13";"Beaver Creek Watershed, AZ";"http://ag.arizona.edu/OALS/watershed/beaver/";"34.755";"-111.485";"935";"2560";"1747.5";"7";"62.5";;"SEMIARID";"AZ";"US";"Beaver_Creek_Watershed.pdf"
"BDCDRC";"No";"0";;"2008-04-08 16:33:29";"Boyd Deep Canyon Desert Research Center";"http://nrs.ucop.edu/Boyd-Canyon-Desert.htm";"33.583333";"-116.3375";"180";"1310";"745";"30.3";"14.2";;"GRASS-SHRUB";"CA";"US";
"BDG";"No";"0";;;"Bodega Marine Reserve and Lab";"http://www-bml.ucdavis.edu/";"38.32";"-123.07";"0";"58";"29";"12";"86";NULL;"GRASS-SHRUB";"CA";"US";
"BEF";"No";"0";;"2008-04-09 13:51:11";"Blandy Experimental Farm";"http://www.virginia.edu/blandy/";"39.063";"-78.065";"167";"185";"176";"11.5";"95";;"AGRI";"VA";"US";"Blandy_Experimental_Farm.pdf"
"BEN";"No";"0";;;"Bent Creek Experimental Forest";"http://www.srs.fs.usda.gov/bentcreek/";"35.48";"-82.63";NULL;NULL;NULL;"12.8";"121.6";NULL;"TEMPFOR";"NC";"US";
"BEP";"No";"0";;;"Blackwater Ecological Preserve";"http://www.dcr.virginia.gov/natural_heritage/natural_area_preserves/blackwater.shtml";"36.75";"-76.5";NULL;NULL;NULL;NULL;NULL;NULL;"SAVANNA";"VA";"US";
"BERC";"No";"0";;"2008-06-03 18:59:15";"Bahamas Environmental Research Centre";"http://www.4ecoed.org/berc.html";"25";"-78";NULL;NULL;NULL;NULL;NULL;;"TROPFOR";;"BS";
"BES";"No";"0";;"2008-06-10 13:12:17";"Baltimore Urban LTER Site";"http://beslter.org";"39.1";"-76.3";"0";"201";"100";"13";"104";;"URBAN";"MD";"US";"Baltimore_Urban_LTER_Site.pdf"
"BFEF";"No";"0";;;"Big Falls Experimental Forest";"http://nrs.fs.fed.us/ef/locations/mn/big-falls/";"48.166667";"-94";NULL;NULL;NULL;NULL;"57";NULL;"TEMPFOR";"MN";"US";
"BFL";"No";"0";;;"Brackenridge Field Laboratory";"http://www.utexas.edu/research/bfl/";"30.2816";"-97.7808";NULL;NULL;"139";"20.6";"34";NULL;"URBAN";"TX";"US";
"BFSUA";"No";"0";;;"The University of Akron Field Station at Bath Natural Preserve";"http://www3.uakron.edu/biology/fieldstation/index.htm";"41.109";"-81.388";NULL;NULL;NULL;NULL;NULL;NULL;"URBAN";"OH";"US";
"BHEF";"No";"0";;;"Black Hills Experimental Forest";"http://www.fs.fed.us/rmrs/experimental-forests/black-hills-experimental-forest/";"44.1666666666667";"-103.6333";NULL;NULL;NULL;NULL;NULL;NULL;"TEMPFOR";"CO";"US";
